Id,HouseId,Last Hour,TotalConsumption,1SDConsumption,MeanConsumptionForThatHour,SDConsumptionForThatHour
2_0_1-9-2013_22,2,22,668.783,,,
2_0_2-9-2013_22,2,22,3840.031,,,
0_1_4-9-2013_6,0,6,10909.306,8205.317357,4526.9222,3678.395157
0_1_19-9-2013_6,0,6,25983.228,21602.6711,12305.441,9297.230097
0_8_26-9-2013_6,0,6,14142.725,11190.139,11190.139,0
0_1_2-9-2013_6,0,6,6577.459,5951.930944,3487.303,2464.627944
0_7_30-9-2013_6,0,6,897.896,809.3494163,442.6776667,366.6717496
0_1_11-9-2013_6,0,6,24689.833,24689.833,16958.1775,7731.6555
0_12_28-9-2013_6,0,6,186.47,138.781,69.3905,69.3905
0_8_25-9-2013_6,0,6,10647.259,2411.584956,1141.7888,1269.796156
0_6_18-9-2013_6,0,6,8093.932,7615.277453,4647.5064,2967.771053
0_8_13-9-2013_6,0,6,12357.394,3540.05,2594.3075,945.7425
0_9_17-9-2013_6,0,6,17750.061,14367.54973,9747.349333,4620.200393
0_9_6-9-2013_6,0,6,15119.573,6059.258,3095.688,2963.57
0_3_8-9-2013_6,0,6,7606.604,7390.868754,4029.88625,3360.982504
0_1_15-9-2013_6,0,6,9170.462,5841.364542,2721.608333,3119.756208
0_9_7-9-2013_6,0,6,2661.394,2251.384,2141.219,110.165
0_9_10-9-2013_6,0,6,16315.383,8338.076059,4943.4542,3394.621859
0_1_14-9-2013_6,0,6,9403.511,9095.998164,5103.2076,3992.790564
0_6_14-9-2013_6,0,6,10245.888,9095.998164,5103.2076,3992.790564
0_0_25-9-2013_6,0,6,3296.443,2411.584956,1141.7888,1269.796156
0_8_20-9-2013_6,0,6,11580.198,4162.933156,2372.651,1790.282156
0_6_20-9-2013_6,0,6,4896.169,4162.933156,2372.651,1790.282156
0_1_12-9-2013_6,0,6,6197.689,4670.805569,2146.4185,2524.387069
0_9_3-9-2013_6,0,6,15825.219,12329.45369,7974.7776,4354.676089
0_8_1-9-2013_6,0,6,13190.447,8666.073972,3946.4184,4719.655572
0_12_26-9-2013_6,0,6,11806.038,11190.139,11190.139,0
0_9_28-9-2013_6,0,6,228.473,138.781,69.3905,69.3905
0_10_8-9-2013_6,0,6,10361.565,7390.868754,4029.88625,3360.982504
0_7_29-9-2013_6,0,6,10883.1,10588.35729,6232.4672,4355.890087
0_9_4-9-2013_6,0,6,9676.162,8205.317357,4526.9222,3678.395157
0_8_22-9-2013_6,0,6,4333.427,3327.098633,1929.790667,1397.307966
0_9_10-9-2013_6,0,6,16315.383,8338.076059,4943.4542,3394.621859
0_7_29-9-2013_6,0,6,10883.1,10588.35729,6232.4672,4355.890087
0_1_15-9-2013_6,0,6,9170.462,5841.364542,2721.608333,3119.756208
0_8_22-9-2013_6,0,6,4333.427,3327.098633,1929.790667,1397.307966
0_1_12-9-2013_6,0,6,6197.689,4670.805569,2146.4185,2524.387069
0_6_18-9-2013_6,0,6,8093.932,7615.277453,4647.5064,2967.771053
